SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2
4380,THOMAS M. PEIRCE SCHOOL,"PEIRCE, THOMAS M. SCHOOL"
4390,ANNE B. PRATT SCHOOL,"PRATT, ANNA B. SCHOOL"
4400,M. HALL STANTON SCHOOL,"STANTON, M. HALL SCHOOL"
4430,JOHN WHITTIER SCHOOL,"WHITTIER, JOHN G. SCHOOL"
4440,DR. ETHEL ALLEN SCHOOL,"ALLEN, DR. ETHEL SCHOOL"
4450,LESLIE P. HILL SCHOOL,"HILL, LESLIE P. SCHOOL"
4460,TANNER DUCKREY SCHOOL,"DUCKREY, TANNER SCHOOL"
4470,RICHARD WRIGHT SCHOOL,"WRIGHT, RICHARD R. SCHOOL"
4480,OVERBROOK EDUCATIONAL CENTER,OVERBROOK EDUCATIONAL CENTER
5020,THOMAS EDISON HIGH SCHOOL,"EDISON, THOMAS A. HIGH SCHOOL"
5060,JULES MASTBAUM HIGH SCHOOL,"MASTBAUM, JULES E. HIGH SCHOOL"
5070,PARKWAY-NORTHWEST HIGH SCHOOL,PARKWAY-NORTHWEST HIGH SCHOOL
5400,RICHMOND ACADEMICS PLUS SCHOOL,RICHMOND SCHOOL
5410,ISAAC A. SHEPPARD SCHOOL,"SHEPPARD, ISAAC A. SCHOOL"
5420,JOHN WELSH SCHOOL,"WELSH, JOHN SCHOOL"
5430,AMY 5 AT JAMES MARTIN,AMY 5 AT JAMES MARTIN
5440,FRANCES E. WILLARD SCHOOL,"WILLARD, FRANCES E. SCHOOL"
5450,CHARLES CARROLL HIGH SCHOOL,"CARROLL, CHARLES HIGH SCHOOL"
5470,CRAMP SCHOOL,"CRAMP, WILLIAM SCHOOL"
5480,GEN. PHILIP KEARNY SCHOOL,"KEARNY, GEN. PHILIP SCHOOL"
5490,CAYUGA SCHOOL,CAYUGA SCHOOL
5500,THURGOOD MARSHALL SCHOOL,"MARSHALL, THURGOOD SCHOOL"
5530,PHILIP H. SHERIDAN SCHOOL,"SHERIDAN, PHILIP H. SCHOOL"
5560,SPRING GARDEN SCHOOL,SPRING GARDEN SCHOOL
5590,JOHN H. WEBSTER SCHOOL,"WEBSTER, JOHN H. SCHOOL"
5680,HON. LUIS MUNOZ-MARIN SCHOOL,"MUNOZ-MARIN, HON LUIS SCHOOL"
1050,PAUL ROBESON HIGH SCHOOL,"ROBESON, PAUL HIGH SCHOOL"
1060,COMMUNICATIONS TECHNOLOGY HS,COMMUNICATIONS TECHNOLOGY HS
5080,PARKWAY CENTER CITY HIGH SCHL,PARKWAY CENTER CITY HIGH SCHL
5110,PENN TREATY MIDDLE SCHOOL,PENN TREATY MIDDLE SCHOOL
5150,WILLIAM W. BODINE H.S.,"BODINE, WILLIAM W. H.S."
5170,JULIA DE BURGOS ELEMENTARY,"DEBURGOS, J. ELEMENTARY"
5200,ALEXANDER ADAIRE SCHOOL,"ADAIRE, ALEXANDER SCHOOL"
5210,H.A. BROWN ACADEMICS PLUS SCH,"BROWN, HENRY A. SCHOOL"
5230,RUSSELL H. CONWELL MIDDLE SCH.,"CONWELL, RUSSELL MIDDLE SCHOOL"
5280,FAIRHILL SCHOOL,FAIRHILL SCHOOL
5290,FERGUSON ACADEMICS PLUS SCHOOL,"FERGUSON, JOSEPH C. SCHOOL"
5300,HACKETT SCHOOL,"HACKETT, HORATIO B. SCHOOL"
5320,JOHN F. HARTRANFT SCHOOL,"HARTRANFT, JOHN F. SCHOOL"
5330,WILLIAM H. HUNTER SCHOOL,"HUNTER, WILLIAM H. SCHOOL"
5340,JAMES R. LUDLOW SCHOOL,"LUDLOW, JAMES R. SCHOOL"
5350,WILLIAM MCKINLEY SCHOOL,"MCKINLEY, WILLIAM SCHOOL"
5370,JOHN MOFFET SCHOOL,"MOFFET, JOHN SCHOOL"
5390,POTTER THOMAS SCHOOL,POTTER-THOMAS SCHOOL
6050,PHILA HIGH SCHOOL FOR GIRLS,"GIRLS, PHILA HIGH SCHOOL FOR"
6060,MARTIN L. KING HIGH SCHOOL,"KING, MARTIN LUTHER HIGH SCH."
6090,RANDOLPH TECHNICAL HIGH SCHOOL,RANDOLPH TECHNICAL HIGH SCHOOL
